id,
10000,7.345340235463959
10001,6.080306276684272
10002,6.574532039726108
10003,6.472669497884362
10004,6.428853836765565
10005,7.8571392806686
10006,7.350905895091928
10007,7.901382337931897
10008,6.843455024492435
10009,6.1108704051487965
10010,6.5050959870953
10011,6.017812594438575
10012,6.199109016525216
10013,6.212965647207856
10014,6.499897301399077
10015,5.940063925766589
10016,6.416495313711583
10017,5.281703699647846
10018,7.0251706953337765
10019,7.23168921748879
10020,6.810337227408307
10021,7.413318536674326
10022,7.721622629971187
10023,5.3204711073436295
10024,7.478429208517175
10025,6.714627020258539
10026,6.3890383465530585
10027,6.688137885153138
10028,6.72659921267467
10029,4.925442771767845
10030,7.99639565712438
10031,7.414379544422244
10032,6.351666159953812
10033,8.070677303961263
10034,6.630607253898262
10035,7.777206681499749
10036,6.587469801374606
10037,7.0115027891832025
10038,6.349767498632967
10039,6.299080825414709
10040,6.48708682521487
10041,6.992078982352663
10042,6.788481738734309
10043,7.933055071118774
10044,6.127172690917778
10045,6.847504644359105
10046,7.510591062236259
10047,5.872942100125314
10048,6.426723816669791
10049,7.142369928400324
10050,8.217358729417851
10051,6.228244773986115
10052,6.385451851652855
10053,7.708757941603944
10054,6.482752822474132
10055,7.5811477794034525
10056,7.306295467932943
10057,6.69187888350788
10058,8.521437063548944
10059,6.0343007955286865
10060,6.291773205371127
10061,7.781952996280448
10062,7.799776676832916
10063,9.12683353099213
10064,7.109603456421565
10065,8.364829703496017
10066,7.078969285716389
10067,7.48141477575704
10068,6.6464201711255315
10069,7.581602420469948
10070,7.577358876124193
10071,7.858813971107934
10072,8.256513993375794
10073,6.612544384855011
10074,6.4690045014602795
10075,6.041848616507741
10076,5.789410514833966
10077,6.920394512216619
10078,7.336282475557251
10079,6.6955184388097555
10080,5.4623943395722545
10081,5.971072932377389
10082,6.213635843397872
10083,6.587576188432437
10084,6.298185962362787
10085,7.9359099507384725
10086,5.614484664705742
10087,5.222763901597003
10088,7.564884196650137
10089,7.2761528865408325
10090,7.407084554708318
10091,8.248221102347937
10092,6.400859283817817
10093,7.4060386776315665
10094,7.367968767610816
10095,6.653292941108791
10096,6.8148346784244795
10097,6.952571482385232
10098,6.496506304837998
10099,7.923916442275401
10100,6.485506822526106
10101,5.399568619761222
10102,6.618632744309989
10103,7.538055207225156
10104,7.723121384493863
10105,6.249528611202206
10106,7.22199485703533
10107,6.087708225891853
10108,7.040967890789009
10109,5.112063685191925
10110,6.633153628624362
10111,7.539664071130592
10112,6.479413075386715
10113,6.558941272749882
10114,6.015021081922966
10115,6.575436754828888
10116,7.155426330304002
10117,7.0104302466943995
10118,5.5660927335168555
10119,7.015711509061446
10120,7.853492537727113
10121,6.330066161297647
10122,8.28178750865543
10123,6.658483403822238
10124,7.545860941768747
10125,7.1014806687128935
10126,5.889227130441133
10127,7.745530093416043
10128,5.6059498852063205
10129,5.803407459169303
10130,7.918466485185357
10131,8.792198710463762
10132,5.328517771972828
10133,5.6724544066888
10134,7.9447570186682785
10135,6.573336209131105
10136,6.595069534052474
10137,6.727600991947134
10138,6.563116447948435
10139,6.802162214969398
10140,6.719136934262197
10141,5.1120885922986465
10142,5.515723092540337
10143,6.64873083093952
10144,5.9672513677880366
10145,6.557313938026131
10146,7.1856620457634905
10147,7.114263589083975
10148,7.641558718002232
10149,6.985959482189402
10150,6.501188315167693
10151,5.1054200050592
10152,7.048890586231391
10153,7.400879083046175
10154,7.193975952086283
10155,7.773901077577179
10156,6.268407664104796
10157,7.507296211976659
10158,6.594679329992713
10159,6.999536821008742
10160,7.276587383614973
10161,5.839549385032272
10162,6.265675436191064
10163,6.8398160269161385
10164,6.555390162113672
10165,5.8953401601692095
10166,6.317897941108527
10167,6.0731476283715855
10168,6.334327453152298
10169,5.6356536440669665
10170,7.142037807572102
10171,4.197593553837144
10172,7.11476113873804
10173,7.334934649767499
10174,8.31477109616632
10175,6.133905795457631
10176,6.487443967078222
10177,5.377838188946409
10178,7.425063315696205
